,Vibration(1-5),Vibration(6-8),"Distance(1, 2)","Distance(1, 5)","Distance(1, 8)","Distance(10, 17)","Distance(4, 20)","Distance(6, 8)","Distance(6, 22)","Distance(5, 22)","Distance(22, 24)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_17,NPA_20,NPA_22,NPA_24,NPA_25,NPA_difference_1_5,NPA_difference_6_8,NPA_difference_22_24,NPA_difference_22_25,Dihedral(5_1_8_6),Dihedral(2_1_8_6),Dihedral(1_5_22_25),Dihedral(8_6_22_24),Angle(5_22_25),Angle(25_22_24),Angle(24_22_6),Angle(5_22_6),Iso polarisabilty,Aniso polarisabilty,ddg
L1,1776.6585,1790.5918,1.316653724,1.275121355,1.476624945,1.54045793,1.53936828,1.271792956,2.062942695,2.032723532,2.563436193,-6.4729,-6.7177,1.0909,9.3923,0.61883,-0.5329,-0.0676,-0.07097,-0.55334,-0.55542,-0.53697,0.60872,-0.06987,-0.07652,-0.26871,-0.2647,0.7175,-0.54227,-0.30991,1.17217,-1.16414,1.25977,1.02741,1.630285432,177.9926655,179.7417639,168.2501466,91.8224379,96.48819919,92.92168412,79.21728102,341.572,121.665,1.369963165
L10,1782.0808,1794.4524,1.316462318,1.274478192,1.477861641,1.522002121,1.521545269,1.271211694,2.069226291,2.031036936,2.557101015,-7.508,-7.8105,0.7233,10.8581,0.61754,-0.53339,-0.05943,-0.07387,-0.55585,-0.56003,-0.53774,0.60654,-0.06124,-0.07937,-0.65036,-0.64684,0.72008,-0.54941,-0.30814,1.17339,-1.16657,1.26949,1.02822,1.014707945,179.5978376,178.4282967,169.0127208,92.05188196,96.11584665,92.59172047,79.42160462,209.534,100.545,0.656849748
L11,1777.9551,1792.1772,1.315438805,1.275117714,1.47757727,1.538065522,1.538067945,1.271577642,2.060640081,2.03816898,2.557906802,-7.1274,-7.2523,1.1079,10.2286,0.62051,-0.53145,-0.06545,-0.0704,-0.55532,-0.55915,-0.53608,0.60975,-0.0673,-0.07699,-0.2753,-0.27124,0.71913,-0.54536,-0.30839,1.17583,-1.1689,1.26449,1.02752,0.37113031,179.0754779,175.8832599,168.5632143,91.84015989,96.02867691,92.65983563,79.50926712,252.458,104.517,0.871175735
L14,1778.4624,1792.1612,1.316874166,1.274723533,1.478079244,1.527008183,1.527142859,1.271654674,2.068841132,2.015091102,2.562428632,-6.856,-7.3253,0.7785,10.0634,0.61875,-0.53354,-0.05948,-0.06878,-0.55139,-0.55541,-0.53722,0.60785,-0.06154,-0.07492,-0.45981,-0.45837,0.72457,-0.55297,-0.31292,1.17014,-1.16326,1.27754,1.03749,0.212256979,178.1455454,179.4346915,168.6525122,92.33737306,96.20337053,92.74864649,79.18912801,277.635,115.267,0.571040609
L15,1778.5906,1791.6389,1.315316077,1.274956711,1.47783657,1.537806356,1.537066018,1.27165683,2.05919544,2.040084824,2.557662327,-6.9479,-7.1105,1.1377,10.0062,0.62092,-0.53152,-0.06444,-0.0664,-0.555,-0.55924,-0.53593,0.60999,-0.06644,-0.07395,-0.27504,-0.27272,0.72013,-0.54476,-0.30604,1.17592,-1.16923,1.26489,1.02617,0.19204682,179.8682032,174.8985554,168.8567492,91.6819724,95.87723647,92.8794099,79.49884649,275.056,116.696,0.878023403
L16,1778.3829,1790.7771,1.315365927,1.27485003,1.478208144,1.519954556,1.512798068,1.272191882,2.085336199,2.01655162,2.552095678,-7.0093,-6.9411,1.5821,9.9906,0.61784,-0.5316,-0.05326,-0.0753,-0.54781,-0.56019,-0.53351,0.61511,-0.05681,-0.08201,-0.06882,-0.07184,0.70733,-0.53913,-0.29617,1.16565,-1.1753,1.24646,1.0035,0.416529944,177.1905221,174.1985277,161.7588707,91.91985136,96.84775988,92.34237434,79.29714047,303.522,135.003,0.670422056
L17,1773.085,1786.8965,1.315872709,1.275657964,1.479125625,1.534222057,1.535196842,1.272784195,2.064788003,2.010442363,2.562261472,-6.7893,-7.1908,0.5638,9.9055,0.62112,-0.53251,-0.05878,-0.06273,-0.5556,-0.56066,-0.53611,0.61049,-0.06046,-0.06798,-0.46525,-0.46346,0.72245,-0.5517,-0.31327,1.17672,-1.17115,1.27415,1.03572,0.145299495,178.1347279,179.5790394,170.4970261,92.05911337,96.2907499,92.88449641,79.08994748,336.444,216.137,0.623198065
L22,1779.0188,1792.8093,1.315014011,1.274900109,1.47778415,1.534508535,1.533203572,1.271471454,2.057085351,2.043730643,2.557266227,-6.8031,-6.8977,1.346,9.7813,0.62183,-0.53121,-0.06351,-0.06175,-0.55453,-0.55889,-0.53595,0.61092,-0.06577,-0.06967,-0.27982,-0.2774,0.72008,-0.54294,-0.30489,1.17636,-1.16981,1.26302,1.02497,0.521337799,179.1370188,175.182258,169.116482,91.82528739,95.61397378,92.91960773,79.60390555,311.336,112.717,1.038793132
L23,1722.1181,1740.9568,1.362056613,1.286072068,1.485342024,1.539885175,1.53919982,1.282807339,2.054970089,2.02561248,2.571360243,-8.9919,-8.2803,4.9472,13.1868,0.49177,-0.50877,-0.21109,-0.0424,-0.54658,-0.54875,-0.51554,0.4795,-0.21139,-0.04802,-0.27658,-0.27295,0.72461,-0.55375,-0.32402,1.03835,-1.02825,1.27836,1.04863,16.56061345,162.6990256,179.5545915,172.205116,92.44875517,96.25979691,92.7882304,79.46767605,410.093,190.287,0.912017579
L24,1718.5043,1737.1705,1.356442401,1.288176002,1.48451096,1.540013433,1.539148678,1.284351952,2.048914621,2.024410887,2.579086482,-8.6737,-12.8175,1.8953,15.5921,0.49485,-0.50688,-0.20943,-0.04232,-0.55828,-0.55836,-0.5074,0.48534,-0.21203,-0.0473,-0.27581,-0.2722,0.73052,-0.56325,-0.32681,1.05313,-1.0437,1.29377,1.05733,16.20280359,162.9344991,179.4406083,170.6988941,92.59794366,96.38474492,92.5095447,79.60664359,484.163,207.484,1.191065648
